#separator:comma
#html:true
#deck column:1
#tags column:38
eggrolls-JLPT10k-v3::2-N3::2-中低频,0b47b2f4-2ed7-11ef-a183-99ad05e145f0,キロメートル,③,名,(フ) kilomètre,……千米，……公里,……公里，……公里,,[sound:キロメートル_キロメ＼ートル_3_NHK-2016-local-e67fc92514637569423d9c55e35016a9ead7baf2.mp3],,4キロメートル以内は無料配達いたします,4<b>キロメートル</b> 以内[いない]は 無料[むりょう] 配達[はいたつ]いたします,四公里以内免费送货,四公里以內免費送貨,[sound:voicepeak-949059c88503455a.mp3],,,,,,,,,,,,,,,,,,,21796,,,eggrolls-JLPT10k-v3::2-N3::N3中低频 eggrolls-JLPT10k-v3::v25.09.08 eggrolls-JLPT10k-v3::外
eggrolls-JLPT10k-v3::1-N4+N5,0b47be0c-2ed7-11ef-a183-99ad05e145f0,グラム,①⓪,名,gram；(法) gramme,克,克，公克,,[sound:グラム_グラム━_0_NHK-2016-local-5e05a9634d167991ba7a85b054dfb8917d3902f5.mp3],,ひき肉を200グラムください,ひき 肉[にく]を200<b>グラム</b>ください,请给我200克的绞肉,請給我200克的絞肉,[sound:voicepeak-c8f66e8440c445f2.mp3],,,,,,,,,,,,,,,,,,,1.0537,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08 eggrolls-JLPT10k-v3::外
eggrolls-JLPT10k-v3::1-N4+N5,0b47c7b2-2ed7-11ef-a183-99ad05e145f0,〜さん,,接尾,〜さん,（表达敬意或亲近感）……先生，……女士,（表達敬意或親近感）……先生，……女士,,[sound:さん_サン━_0_NHK-2016-local-37eda996b8ef8a31f79335ad8f9d5e860ea255f2.mp3],,佐藤さん,佐藤[さとう]<b>さん</b>,佐藤先生/女士,佐藤先生/女士,[sound:voicepeak-b89c7ef4024e438c.mp3],,象さん,象[ぞう]<b>さん</b>,大象先生,大象先生,[sound:voicepeak-0-象さん-250904.mp3],,,,,,,,,,,,,1.0367,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b47d0b8-2ed7-11ef-a183-99ad05e145f0,過ぎ,,造,すぎ,超过……；过分……，过度……,超過……；過分……，過度……,,[sound:すぎ_スキ゚━_0_NHK-2016-local-699d201a009df37ef1d58b433e752e86d28280ab.mp3],,午後一時過ぎ,午後[ごご] 一時[いちじ]<b> 過[す]ぎ</b>,下午一点多,下午一點多,[sound:voicepeak-4a505c579897487e.mp3],,食べ過ぎ,食[た]べ<b> 過[す]ぎ</b>,吃太多,吃太多,[sound:食べ過ぎ_タベスキ゚━_0_NHK-2016-local.mp3],,,,,,,,,,,,,1.0365,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b47d982-2ed7-11ef-a183-99ad05e145f0,〜ちゃん,,接尾,〜ちゃん,小……,小……,人名や人を表す語に付いて、親しみの気持ちを表す,[sound:ちゃん_チャン___Jpod-local.mp3],,姉ちゃん,姉[あね]<b>ちゃん</b>,姐姐,姊姊,[sound:voicepeak-e34aa4eb3a8140e1.mp3],,花子ちゃん,花子[はなこ]<b>ちゃん</b>,小花子,花子醬,[sound:voicepeak-ef78cf6d58e54a27.mp3],,,,,,,,,,,,,1.0368,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b47e1fc-2ed7-11ef-a183-99ad05e145f0,にくい,,イ形,にくい,难……,難……,難い；動詞の連用形に付いて複合語を作る,[sound:にくい_ニク＼イ_2_NHK-2016-local-46d74d7579ea7762f3012c498e2e21851dfe96d7.mp3],,わかりにくい,わかり<b>にくい</b>,难懂,難懂,[sound:わかりにくい_ワカリニク＼イ_5_NHK-2016-local.mp3],対,〜やすい,〜やすい,容易……,容易……,[sound:やすい_ヤス＼イ_2_NHK-2016-local-4cb156c972021f87d036f7cc9e5bc2619dc2585b.mp3],,,,,,,,,,,,,1.0364,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b47eada-2ed7-11ef-a183-99ad05e145f0,〜回,,名,〜かい,……回，次,……回，次,,[sound:回_カ＼イ_1_NHK-2016-local-f074c221cb3e0ad53232f50a453d5fcfec755ec2.mp3],,第一回,第一[だいいっ]<b> 回[かい]</b>,第一回,第一回,[sound:voicepeak-ab3679a6f1604bfe.mp3],,,,,,,,,,,,,,,,,,,1.0369,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b47f3a4-2ed7-11ef-a183-99ad05e145f0,階,,名・造,かい,……层，……楼,……層，……樓,,[sound:階_カ＼イ_1_NHK-2016-local-f074c221cb3e0ad53232f50a453d5fcfec755ec2.mp3],,二階の部屋,二[に]<b> 階[かい]</b>の 部屋[へや],二楼的房间,二樓的房間,[sound:voicepeak-598638500733432c.mp3],,地下三階,地下[ちか] 三[さん]<b> 階[がい]</b>,地下三层,地下三樓,[sound:voicepeak-0-地下三階-250904.mp3],,,,,,,,,,,,,1.0370,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b47fc0a-2ed7-11ef-a183-99ad05e145f0,〜君,,接尾,〜くん,（用于同辈或下级男性姓名后）小……,（用於同輩或下級男性姓名後）小……,,[sound:くん_クン━_0_NHK-2016-local-6fd0dac1d82eca55420a3be3117925b5bc8484d0.mp3],,張君,張[ちょう] <b>君[くん]</b>,小张,小張,[sound:voicepeak-583316c94e3b493f.mp3],,,,,,,,,,,,,,,,,,,1.0371,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b48048e-2ed7-11ef-a183-99ad05e145f0,個,,名・造,こ,（用于数小而圆的物体）……个,（用於數小而圓的物體）……個,,[sound:個_コ＼_1_NHK-2016-local-ebb50bf5c486f9612bb5e635e342fac0f0e82f2f.mp3],,リンゴを6個買ってきてください,リンゴを 6<b> 個[こ]</b> 買[か]ってきてください,请买六颗苹果回来,請買六顆蘋果回來,[sound:voicepeak-f04b2ed4574d479d.mp3],,,,,,,,,,,,,,,,,,,1.0372,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b480cfe-2ed7-11ef-a183-99ad05e145f0,頃,,名,ごろ,大概……，……左右；时期,大概……，……左右，時期,,[sound:ゴロ_ゴ＼ロ_1_NHK-2016-local-bbdd77a581bf66ba8f64bf2bbb93c97a998b9534.mp3],,6時頃に起きる,6 時[じ] <b>頃[ごろ]</b>に 起[お]きる,六点左右起床,六點左右起床,[sound:voicepeak-0dd5aac6ff2443a1.mp3],,食べ頃,食[た]べ <b>頃[ごろ]</b>,食物好吃的季节,食物好吃的季節,[sound:食べ頃_タベコ゚ロ━_0_NHK-2016-local-9cf5f4c28fa3d5fa58c0584d553ddb46edebf21d.mp3],,,,,,,,,,,,,1.0373,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
eggrolls-JLPT10k-v3::1-N4+N5,0b481546-2ed7-11ef-a183-99ad05e145f0,冊,,造,さつ,（用来数笔记本，书本等）……册，……本,（用來數筆記本，書本等）……冊，……本,,[sound:さつ_サツ━_0_NHK-2016-local-86b3f889f7b093158a66e07d5739fde766b21986.mp3],,ノート3冊,ノート3 <b>冊[さつ]</b>,三个本子,三個本子,[sound:voicepeak-57ce7176dba74d62.mp3],,,,,,,,,,,,,,,,,,,1.0374,,,eggrolls-JLPT10k-v3::1-N4+N5 eggrolls-JLPT10k-v3::v25.09.08
